state,state_name,year,total,youth,child,yadult,yparent,yparent_u18,yparent_18to24,ypchild,adult,non_ypfam,sh_youth,uns_youth,sh_child,uns_child,sh_yadult,uns_yadult,sh_yparent,uns_yparent,sh_yparent_u18,uns_yparent_u18,sh_yparent_18to24,uns_yparent_18to24,sh_ypchild,uns_ypchild,sh_adult,uns_adult,sh_non_ypfam,uns_non_ypfam
AZ,Arizona ,2015,9896.0,621.0,83.0,538.0,166.0,6.0,160.0,194.0,5927.0,2988.0,450.0,171.0,79.0,4.0,371.0,167.0,156.0,10.0,6.0,0.0,150.0,10.0,185.0,9.0,3374.0,2553.0,2774.0,214.0
CA,California ,2015,115738.0,10416.0,892.0,9524.0,854.0,11.0,843.0,1160.0,82740.0,20568.0,2464.0,7952.0,260.0,632.0,2204.0,7320.0,770.0,84.0,11.0,0.0,759.0,84.0,1039.0,121.0,22379.0,60361.0,15387.0,5181.0
CO,Colorado ,2015,9953.0,566.0,82.0,484.0,171.0,1.0,170.0,226.0,5163.0,3827.0,360.0,206.0,74.0,8.0,286.0,198.0,146.0,25.0,0.0,1.0,146.0,24.0,197.0,29.0,3379.0,1784.0,3052.0,775.0
CT,Connecticut ,2015,4047.0,124.0,11.0,113.0,43.0,0.0,43.0,65.0,2595.0,1220.0,92.0,32.0,11.0,0.0,81.0,32.0,41.0,2.0,0.0,0.0,41.0,2.0,63.0,2.0,2032.0,563.0,1193.0,27.0
DC,Washington DC,2015,7298.0,200.0,7.0,193.0,366.0,0.0,366.0,544.0,3621.0,2567.0,183.0,17.0,7.0,0.0,176.0,17.0,366.0,0.0,0.0,0.0,366.0,0.0,544.0,0.0,3094.0,527.0,2567.0,0.0
DE,Delaware ,2015,953.0,57.0,3.0,54.0,21.0,0.0,21.0,41.0,545.0,289.0,56.0,1.0,3.0,0.0,53.0,1.0,21.0,0.0,0.0,0.0,21.0,0.0,41.0,0.0,509.0,36.0,289.0,0.0
FL,Florida ,2015,35900.0,2371.0,593.0,1778.0,315.0,10.0,305.0,449.0,23954.0,8811.0,1207.0,1164.0,321.0,272.0,886.0,892.0,278.0,37.0,10.0,0.0,268.0,37.0,397.0,52.0,10826.0,13128.0,6175.0,2636.0
GA,Georgia ,2015,13790.0,575.0,15.0,560.0,51.0,0.0,51.0,98.0,9127.0,3939.0,292.0,283.0,11.0,4.0,281.0,279.0,45.0,6.0,0.0,0.0,45.0,6.0,79.0,19.0,4491.0,4636.0,3080.0,859.0
HI,Hawaii ,2015,7620.0,303.0,24.0,279.0,95.0,1.0,94.0,93.0,4004.0,3125.0,76.0,227.0,8.0,16.0,68.0,211.0,70.0,25.0,0.0,1.0,70.0,24.0,71.0,22.0,1167.0,2837.0,2393.0,732.0
IA,Iowa ,2015,3081.0,179.0,7.0,172.0,124.0,4.0,120.0,139.0,1322.0,1317.0,176.0,3.0,7.0,0.0,169.0,3.0,124.0,0.0,4.0,0.0,120.0,0.0,139.0,0.0,1126.0,196.0,1313.0,4.0
ID,Idaho ,2015,1966.0,129.0,4.0,125.0,22.0,0.0,22.0,31.0,1043.0,741.0,91.0,38.0,3.0,1.0,88.0,37.0,19.0,3.0,0.0,0.0,19.0,3.0,29.0,2.0,741.0,302.0,617.0,124.0
IL,Illinois ,2015,13177.0,832.0,38.0,794.0,351.0,2.0,349.0,522.0,7320.0,4152.0,680.0,152.0,33.0,5.0,647.0,147.0,345.0,6.0,2.0,0.0,343.0,6.0,514.0,8.0,4919.0,2401.0,4005.0,147.0
IN,Indiana ,2015,5863.0,373.0,36.0,337.0,103.0,3.0,100.0,149.0,3541.0,1697.0,333.0,40.0,36.0,0.0,297.0,40.0,102.0,1.0,3.0,0.0,99.0,1.0,147.0,2.0,3020.0,521.0,1678.0,19.0
KS,Kansas ,2015,2588.0,89.0,3.0,86.0,28.0,0.0,28.0,31.0,1377.0,1063.0,72.0,17.0,3.0,0.0,69.0,17.0,27.0,1.0,0.0,0.0,27.0,1.0,30.0,1.0,1119.0,258.0,1035.0,28.0
KY,Kentucky ,2015,4538.0,248.0,27.0,221.0,75.0,0.0,75.0,99.0,2903.0,1213.0,194.0,54.0,27.0,0.0,167.0,54.0,64.0,11.0,0.0,0.0,64.0,11.0,90.0,9.0,2428.0,475.0,1020.0,193.0
LA,Louisiana ,2015,4081.0,389.0,30.0,359.0,61.0,0.0,61.0,105.0,2828.0,698.0,233.0,156.0,27.0,3.0,206.0,153.0,61.0,0.0,0.0,0.0,61.0,0.0,105.0,0.0,1820.0,1008.0,671.0,27.0
MA,Massachusetts ,2015,21135.0,415.0,5.0,410.0,839.0,10.0,829.0,1070.0,5963.0,12848.0,384.0,31.0,4.0,1.0,380.0,30.0,839.0,0.0,10.0,0.0,829.0,0.0,1070.0,0.0,5430.0,533.0,12819.0,29.0
MD,Maryland ,2015,8390.0,481.0,54.0,427.0,138.0,0.0,138.0,217.0,4902.0,2652.0,327.0,154.0,22.0,32.0,305.0,122.0,126.0,12.0,0.0,0.0,126.0,12.0,204.0,13.0,3660.0,1242.0,2277.0,375.0
ME,Maine ,2015,2372.0,146.0,18.0,128.0,56.0,0.0,56.0,67.0,1073.0,1030.0,145.0,1.0,18.0,0.0,127.0,1.0,55.0,1.0,0.0,0.0,55.0,1.0,65.0,2.0,1025.0,48.0,1023.0,7.0
MI,Michigan ,2015,10516.0,975.0,160.0,815.0,262.0,0.0,262.0,400.0,5571.0,3308.0,880.0,95.0,153.0,7.0,727.0,88.0,260.0,2.0,0.0,0.0,260.0,2.0,396.0,4.0,4673.0,898.0,3235.0,73.0
MN,Minnesota ,2015,7546.0,733.0,131.0,602.0,276.0,13.0,263.0,373.0,2889.0,3275.0,639.0,94.0,113.0,18.0,526.0,76.0,260.0,16.0,12.0,1.0,248.0,15.0,352.0,21.0,2348.0,541.0,3106.0,169.0
MO,Missouri ,2015,6482.0,474.0,101.0,373.0,109.0,7.0,102.0,173.0,2960.0,2766.0,393.0,81.0,83.0,18.0,310.0,63.0,104.0,5.0,7.0,0.0,97.0,5.0,165.0,8.0,2247.0,713.0,2502.0,264.0
MS,Mississippi ,2015,1983.0,93.0,25.0,68.0,9.0,0.0,9.0,21.0,1382.0,478.0,55.0,38.0,25.0,0.0,30.0,38.0,7.0,2.0,0.0,0.0,7.0,2.0,13.0,8.0,638.0,744.0,428.0,50.0
MT,Montana ,2015,1709.0,171.0,13.0,158.0,41.0,9.0,32.0,55.0,956.0,486.0,41.0,130.0,6.0,7.0,35.0,123.0,26.0,15.0,7.0,2.0,19.0,13.0,31.0,24.0,437.0,519.0,302.0,184.0
NC,North Carolina ,2015,10685.0,631.0,79.0,552.0,115.0,2.0,113.0,159.0,6525.0,3255.0,468.0,163.0,63.0,16.0,405.0,147.0,90.0,25.0,2.0,0.0,88.0,25.0,130.0,29.0,4904.0,1621.0,2668.0,587.0
ND,North Dakota ,2015,1305.0,142.0,18.0,124.0,11.0,0.0,11.0,17.0,722.0,413.0,113.0,29.0,18.0,0.0,95.0,29.0,11.0,0.0,0.0,0.0,11.0,0.0,17.0,0.0,478.0,244.0,200.0,213.0
NE,Nebraska ,2015,2744.0,238.0,29.0,209.0,47.0,0.0,47.0,69.0,1482.0,908.0,220.0,18.0,29.0,0.0,191.0,18.0,47.0,0.0,0.0,0.0,47.0,0.0,69.0,0.0,1377.0,105.0,908.0,0.0
NH,New Hampshire ,2015,1445.0,91.0,6.0,85.0,35.0,0.0,35.0,40.0,687.0,592.0,82.0,9.0,5.0,1.0,77.0,8.0,35.0,0.0,0.0,0.0,35.0,0.0,40.0,0.0,584.0,103.0,572.0,20.0
NJ,New Jersey ,2015,10098.0,643.0,47.0,596.0,369.0,0.0,369.0,492.0,5546.0,3048.0,587.0,56.0,47.0,0.0,540.0,56.0,367.0,2.0,0.0,0.0,367.0,2.0,487.0,5.0,4706.0,840.0,2977.0,71.0
NM,New Mexico ,2015,2629.0,193.0,54.0,139.0,33.0,0.0,33.0,52.0,1473.0,878.0,168.0,25.0,53.0,1.0,115.0,24.0,33.0,0.0,0.0,0.0,33.0,0.0,52.0,0.0,1069.0,404.0,853.0,25.0
NV,Nevada ,2015,8743.0,2310.0,825.0,1485.0,48.0,5.0,43.0,74.0,5548.0,763.0,288.0,2022.0,9.0,816.0,279.0,1206.0,48.0,0.0,5.0,0.0,43.0,0.0,74.0,0.0,3358.0,2190.0,760.0,3.0
NY,New York ,2015,88250.0,2626.0,133.0,2493.0,2470.0,10.0,2460.0,3013.0,33509.0,46632.0,2367.0,259.0,128.0,5.0,2239.0,254.0,2463.0,7.0,9.0,1.0,2454.0,6.0,3006.0,7.0,29805.0,3704.0,46587.0,45.0
OH,Ohio ,2015,11182.0,770.0,49.0,721.0,237.0,3.0,234.0,355.0,6795.0,3025.0,665.0,105.0,47.0,2.0,618.0,103.0,236.0,1.0,3.0,0.0,233.0,1.0,352.0,3.0,5925.0,870.0,2905.0,120.0
OK,Oklahoma ,2015,3777.0,460.0,84.0,376.0,50.0,0.0,50.0,92.0,2321.0,854.0,315.0,145.0,40.0,44.0,275.0,101.0,48.0,2.0,0.0,0.0,48.0,2.0,91.0,1.0,1796.0,525.0,749.0,105.0
OR,Oregon ,2015,13226.0,1350.0,388.0,962.0,135.0,0.0,135.0,155.0,8111.0,3475.0,448.0,902.0,62.0,326.0,386.0,576.0,88.0,47.0,0.0,0.0,88.0,47.0,101.0,54.0,3600.0,4511.0,1594.0,1881.0
PA,Pennsylvania ,2015,15421.0,871.0,37.0,834.0,573.0,4.0,569.0,792.0,7734.0,5451.0,745.0,126.0,28.0,9.0,717.0,117.0,573.0,0.0,4.0,0.0,569.0,0.0,792.0,0.0,6531.0,1203.0,5352.0,99.0
RI,Rhode Island ,2015,1111.0,47.0,4.0,43.0,35.0,0.0,35.0,44.0,659.0,326.0,39.0,8.0,4.0,0.0,35.0,8.0,35.0,0.0,0.0,0.0,35.0,0.0,44.0,0.0,634.0,25.0,323.0,3.0
SC,South Carolina ,2015,5354.0,195.0,13.0,182.0,63.0,1.0,62.0,95.0,3739.0,1262.0,126.0,69.0,12.0,1.0,114.0,68.0,59.0,4.0,0.0,1.0,59.0,3.0,87.0,8.0,2339.0,1400.0,847.0,415.0
SD,South Dakota ,2015,1036.0,108.0,8.0,100.0,29.0,0.0,29.0,36.0,522.0,341.0,83.0,25.0,8.0,0.0,75.0,25.0,29.0,0.0,0.0,0.0,29.0,0.0,36.0,0.0,423.0,99.0,329.0,12.0
TN,Tennessee ,2015,9123.0,673.0,14.0,659.0,65.0,0.0,65.0,94.0,5843.0,2448.0,454.0,219.0,3.0,11.0,451.0,208.0,36.0,29.0,0.0,0.0,36.0,29.0,49.0,45.0,3621.0,2222.0,1719.0,729.0
TX,Texas ,2015,23678.0,1416.0,218.0,1198.0,161.0,3.0,158.0,252.0,14849.0,7000.0,797.0,619.0,185.0,33.0,612.0,586.0,158.0,3.0,3.0,0.0,155.0,3.0,244.0,8.0,8437.0,6412.0,6556.0,444.0
UT,Utah ,2015,3025.0,132.0,11.0,121.0,34.0,0.0,34.0,40.0,1677.0,1142.0,106.0,26.0,11.0,0.0,95.0,26.0,34.0,0.0,0.0,0.0,34.0,0.0,40.0,0.0,1499.0,178.0,1120.0,22.0
VA,Virginia ,2015,7001.0,330.0,12.0,318.0,129.0,0.0,129.0,187.0,3860.0,2495.0,288.0,42.0,12.0,0.0,276.0,42.0,127.0,2.0,0.0,0.0,127.0,2.0,186.0,1.0,3146.0,714.0,2443.0,52.0
VT,Vermont ,2015,1523.0,101.0,4.0,97.0,34.0,1.0,33.0,35.0,809.0,544.0,87.0,14.0,3.0,1.0,84.0,13.0,34.0,0.0,1.0,0.0,33.0,0.0,35.0,0.0,688.0,121.0,529.0,15.0
WA,Washington ,2015,19419.0,1341.0,154.0,1187.0,310.0,12.0,298.0,351.0,11185.0,6232.0,700.0,641.0,91.0,63.0,609.0,578.0,296.0,14.0,11.0,1.0,285.0,13.0,342.0,9.0,5500.0,5685.0,5460.0,772.0
WI,Wisconsin ,2015,6057.0,334.0,33.0,301.0,195.0,0.0,195.0,284.0,2658.0,2586.0,287.0,47.0,25.0,8.0,262.0,39.0,184.0,11.0,0.0,0.0,184.0,11.0,270.0,14.0,2360.0,298.0,2514.0,72.0
WV,West Virginia ,2015,1835.0,145.0,11.0,134.0,23.0,3.0,20.0,29.0,1269.0,369.0,103.0,42.0,11.0,0.0,92.0,42.0,16.0,7.0,3.0,0.0,13.0,7.0,21.0,8.0,946.0,323.0,317.0,52.0
WY,Wyoming ,2015,798.0,37.0,4.0,33.0,12.0,0.0,12.0,20.0,463.0,266.0,26.0,11.0,2.0,2.0,24.0,9.0,11.0,1.0,0.0,0.0,11.0,1.0,19.0,1.0,266.0,197.0,185.0,81.0
AK,Alaska ,2014,1784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,2014,4561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Arkansas ,2014,2936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona ,2014,10495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,California ,2014,113952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado ,2014,10028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut ,2014,4450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Washington DC,2014,7748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Delaware ,2014,901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Florida ,2014,41542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Georgia ,2014,16521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii ,2014,6918.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,Iowa ,2014,3122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Idaho ,2014,2104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,Illinois ,2014,13107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,Indiana ,2014,5971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS*,Kansas*,2014,2783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Kentucky ,2014,5089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,Louisiana ,2014,4606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Massachusetts ,2014,21237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Maryland ,2014,7856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,Maine ,2014,2726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,Michigan ,2014,12227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Minnesota ,2014,8377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,Missouri ,2014,7282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Mississippi ,2014,2226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Montana ,2014,1745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,North Carolina ,2014,11491.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,North Dakota ,2014,1258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,Nebraska ,2014,3026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,New Hampshire ,2014,1376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,New Jersey ,2014,11671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,New Mexico ,2014,2746.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Nevada ,2014,8582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,New York ,2014,80590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,Ohio ,2014,11823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Oklahoma ,2014,4191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Oregon ,2014,12164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Pennsylvania ,2014,15333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,Rhode Island ,2014,1190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,South Carolina ,2014,5057.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,South Dakota ,2014,885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,Tennessee ,2014,9415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,Texas ,2014,28495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Utah ,2014,3081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,Virginia ,2014,7020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,Vermont ,2014,1559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,Washington ,2014,18442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,Wisconsin ,2014,6055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,West Virginia ,2014,2013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,Wyoming ,2014,757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,Alaska ,2013,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,2013,4689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Arkansas ,2013,3812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona ,2013,10562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,California ,2013,118552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado ,2013,9754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut ,2013,4448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Washington DC,2013,6865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Delaware ,2013,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Florida ,2013,47862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Georgia ,2013,16971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii ,2013,6335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,Iowa ,2013,3084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Idaho ,2013,1781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,Illinois ,2013,13425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,Indiana ,2013,6096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,Kansas ,2013,2693.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Kentucky ,2013,5245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,Louisiana ,2013,5226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Massachusetts ,2013,19029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Maryland ,2013,8205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,Maine ,2013,3016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,Michigan ,2013,11527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Minnesota ,2013,8214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,Missouri ,2013,8581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Mississippi ,2013,2403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Montana ,2013,1878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,North Carolina ,2013,12168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,North Dakota ,2013,2069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,Nebraska ,2013,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,New Hampshire ,2013,1447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,New Jersey ,2013,12002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,New Mexico ,2013,2819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Nevada ,2013,7039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,New York ,2013,77430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,Ohio ,2013,12325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Oklahoma ,2013,4408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Oregon ,2013,13822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Pennsylvania ,2013,15086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,Rhode Island ,2013,1384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,South Carolina ,2013,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,South Dakota ,2013,1094.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,Tennessee ,2013,9528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,Texas ,2013,29615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Utah ,2013,3277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,Virginia ,2013,7625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,Vermont ,2013,1454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,Washington ,2013,17760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,Wisconsin ,2013,6104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,West Virginia ,2013,2240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,Wyoming ,2013,953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,Alaska ,2012,1913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,2012,5209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Arkansas ,2012,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona ,2012,11302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,California ,2012,120098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado ,2012,16768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut ,2012,4209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Washington DC,2012,6954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Delaware ,2012,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Florida ,2012,55170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Georgia ,2012,20516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii ,2012,6246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,Iowa ,2012,2928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Idaho ,2012,1968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,Illinois ,2012,14144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,Indiana ,2012,6259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,Kansas ,2012,2684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Kentucky ,2012,5230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,Louisiana ,2012,7772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Massachusetts ,2012,17501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,Maryland ,2012,9454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,Maine ,2012,2393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,Michigan ,2012,12592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,Minnesota ,2012,7744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,Missouri ,2012,10237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Mississippi ,2012,2413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,Montana ,2012,1833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,North Carolina ,2012,13524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,North Dakota ,2012,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,Nebraska ,2012,3789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,New Hampshire ,2012,1496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,New Jersey ,2012,13025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,New Mexico ,2012,3245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,Nevada ,2012,8497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,New York ,2012,69566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,Ohio ,2012,13977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,Oklahoma ,2012,5032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,Oregon ,2012,15828.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,Pennsylvania ,2012,14736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,Rhode Island ,2012,1277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,South Carolina ,2012,4915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,South Dakota ,2012,859.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,Tennessee ,2012,9426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,Texas ,2012,34052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,Utah ,2012,3527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,Virginia ,2012,8424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,Vermont ,2012,1160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,Washington ,2012,20504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,Wisconsin ,2012,6027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,West Virginia ,2012,2410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,Wyoming ,2012,1813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,Alaska ,2011,2128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,Alabama,2011,5558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Arkansas ,2011,3424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,Arizona ,2011,10504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,California ,2011,125128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,Colorado ,2011,15116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,Connecticut ,2011,4456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,Washington DC,2011,6546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,Delaware ,2011,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Florida ,2011,56687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,Georgia ,2011,20975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,Hawaii ,2011,6188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,Iowa ,2011,3134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Idaho ,2011,2199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,Illinois ,2011,14009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,Indiana ,2011,6196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,Kansas ,2011,2511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,Kentucky ,2011,6034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
